Type,Band,WL Start,WL End,WL Gap
UFA,C Band,1544.2,1552.3,0.8
UFA,L Band,1586.8,1594.8,0.8
UFA-T,C Band,1544.2,1552.3,0.8
UFA-T,L Band,1586.8,1594.8,0.6
UFA(H),C Band,1544.2,1552.3,0.8
UFA(H),L Band,1586.8,1594.8,0.8
UTF,C Band,1523.7,1531.8,0.6
UTF,L Band,1563.7,1571.3,0.8
UTF300(H),C Band,1544.2,1553.8,0.6
UTF300(H),L Band,1586.8,1595.3,0.8
UTF400,C Band,1544.2,1552.3,0.6
UTF400,L Band,1586.8,1595.3,0.8
UTF450,C Band,1544.2,1553.8,0.8
UTF450,L Band,1586.3,1594.8,0.8
UTF500,C Band,1544.2,1553.8,0.8
UTF500,L Band,1586.8,1595.3,0.8
UTF550,C Band,1544.2,1553.8,0.8
UTF550,L Band,1586.3,1594.8,0.8
CTF,C Band,1550,1540.2,0.8
MTF,C Band,1545.7,1547.7,0.3
MTF,L Band,1587.42,1590.02,0.3
MTF,C+L Band,1568.53,1573.13,0.3
MTF,O Band,1297.7,1302.3,0.3
